Source,SS,DF,MS,F,p-unc,np2
Gender,89.9180,1,89.9180,4.6855,0.0513,0.2808
Genotype,396.1100,1,396.1100,20.6408,0.0007,0.6324
Gender * Genotype,0.5810,1,0.5810,0.0303,0.8648,0.0025
residual,230.2880,12,19.1910,,,
