Source,SS,DF,MS,F,p-unc,np2
Gender,361375.3110,1,361375.3110,0.7685,0.3979,0.0602
Genotype,4996051.9840,1,4996051.9840,10.6251,0.0068,0.4696
Gender * Genotype,656010.9030,1,656010.9030,1.3951,0.2604,0.1042
residual,5642571.4510,12,470214.2880,,,
