Source,SS,DF,MS,F,p-unc,np2
Gender,34.5740,1,34.5740,2.7064,0.1259,0.1840
Genotype,418.2030,1,418.2030,32.7368,0.0001,0.7318
Gender * Genotype,6.0270,1,6.0270,0.4718,0.5052,0.0378
residual,153.2970,12,12.7750,,,
